sno,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,Man_of_Match,venue,F_umpire,S_Umpire,
460,2015,Chennai,9/4/2015,CSK,DD,DD,field,normal,N,CSK,1,0,A Nehra,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni,
461,2015,Pune,10/4/2015,RR,KXIP,KXIP,field,normal,N,RR,26,0,JP Faulkner,Maharashtra Cricket Association Stadium,SD Fry,CB Gaffaney,
462,2015,Chennai,11/4/2015,CSK,SH,CSK,bat,normal,N,CSK,45,0,BB McCullum,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni,
463,2015,Kolkata,11/4/2015,KKR,RCB,RCB,field,normal,N,RCB,0,3,CH Gayle,Eden Gardens,S Ravi,C Shamshuddin,
464,2015,Delhi,12/4/2015,DD,RR,RR,field,normal,N,RR,0,3,DJ Hooda,Feroz Shah Kotla,SD Fry,CB Gaffaney,
465,2015,Mumbai,12/4/2015,KXIP,MI,MI,field,normal,N,KXIP,18,0,GJ Bailey,Wankhede Stadium,AK Chaudhary,K Srinivasan,
466,2015,Bangalore,13/04/15,RCB,SH,SH,field,normal,N,SH,0,8,DA Warner,M Chinnaswamy Stadium,RM Deshpande,RK Illingworth,
467,2015,Ahmedabad,14/04/15,MI,RR,MI,bat,normal,N,RR,0,7,SPD Smith,"Sardar Patel Stadium, Motera",AK Chaudhary,SD Fry,
468,2015,Kolkata,30/04/15,CSK,KKR,KKR,field,normal,N,KKR,0,7,AD Russell,Eden Gardens,AK Chaudhary,M Erasmus,
469,2015,Pune,15/04/15,KXIP,DD,KXIP,bat,normal,N,DD,0,5,MA Agarwal,Maharashtra Cricket Association Stadium,CB Gaffaney,K Srinath,
470,2015,Visakhapatnam,16/04/15,SH,RR,RR,field,normal,N,RR,0,6,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi,
